ID,Nombre,Apellido,Directivo,Telefono,Correo electronico
1,Jose,Lopez,No,8146758995,jlopez@empresa.com
2,Daniel ,Espinoza,Si,8163758596,despinoza@empresa.com
3,Alejandro,Perez,No,8181473522,aperez@empresa.com
4,Eduardo,Sanchez,Si,8190213456,esanchez@empresa.com
5,Maria ,Hernandez,No,8192837484,mhernandez@empresa.com
6,Francisco,Gomez,No,8136457843,fgomez@empresa.com
7,Samantha,Torres,Si,8112342123,storres@empresa.com
8,Alejandra,Garcia,No,8123412349,agarcia@empresa.com
9,Pedro,Ibarra,No,8101929380,pibarra@empresa.com
10,Cinthia,Prado,No,8170283748,cprado@empresa.com
